EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1609;125;280591;0;68866;72835700;13264600;11500400;4074720;0;255564;31;2313190000;0;567731000;8835;1395000;309,584;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;51;0;0;0;0;496256;197727;54278;17795;0;3877;1;0;0;0;128;14000;5,5;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;196;12;276;0;0;9428860;759892;1031280;69452;0;73663;19;1070050;0;0;2432;266000;104,201;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2229;235;108078;0;0;54045000;14972200;9067950;2073440;0;201510;30;725960000;0;0;8046;1350000;251,914;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2312;357;345341;0;26141;61532600;15199100;11077200;3810030;0;203794;31;2270270000;0;171851000;9360;1685000;254,701;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;250;11;133;9;0;9428860;969250;1031280;87739;0;73663;19;515641;34893;0;2432;266000;104,517;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;48;9;14945;0;0;1827020;322416;302265;129403;0;6717;1;100386000;0;0;272;45000;8,283;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3796;325;186023;0;9591;55677200;25497700;9370220;3608720;0;208227;31;1249520000;0;64422800;8289;1395000;264,15;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;4634;236;203471;0;8793;72835700;38202700;11500400;5188130;0;255564;31;1677410000;0;72489500;8835;1395000;309,432;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5192;454;315331;0;25815;61532600;34132200;11077200;5314570;0;203794;31;2072990000;0;169708000;9360;1685000;252,634;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1333;151;235670;0;51726;65787100;10989300;10387400;3358310;0;230832;28;1942860000;0;426429000;7980;1260000;276,849;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBV;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;0;0;0;845056;82525;92428;7426;0;6602;2;0;0;0;256;28000;13,433;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;135;4;133;0;0;8932610;426470;977004;38888;0;69786;18;515641;0;0;2304;252000;96,683;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1609;160;125507;0;3837;36365800;10807700;6649830;1841480;0;147774;22;843030000;0;25773100;5414;990000;179,215;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;385;25;57300;0;814;10189700;2530990;1840720;609827;0;39444;6;376690000;0;5351240;1550;280000;49,999;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2313;219;374654;0;11714;52907600;15205700;9433690;3908480;0;177498;27;2462980000;0;77007800;8048;1435000;219,084;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;MMUN;CANCUN/INTL;;;MÉXICO;AMÉRICA DO NORTE;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;472245;106048;74565;31386;0;1657;1;20135900;0;1706710;285;45000;2,6;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;SBBV;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;0;0;0;168448;16450;18424;1479;0;1316;2;0;0;0;256;28000;2,917;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;143;8;45;0;0;9925120;554411;1085560;50060;0;77540;20;174465;0;0;2560;280000;108,233;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1788;184;330855;0;20550;44990500;12010000;8161160;3441280;0;181359;27;2222350000;0;138034000;6698;1215000;227,934;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1583;132;375345;0;6826;58738500;12522600;9274500;4168970;0;206100;25;2994160000;0;47782200;7125;1125000;250,182;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;92;13;27311;0;767;3747180;604808;591660;239017;0;13148;2;179543000;0;5042260;570;90000;19,134;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2183;234;471348;0;29536;54906000;14351000;9795260;4584390;0;184072;28;3098640000;0;194170000;8352;1490000;229,052;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;MMUN;CANCUN/INTL;;;MÉXICO;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2;0;0;0;0;1881860;435798;297135;126262;0;6603;1;80239700;0;6801090;285;45000;7,883;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1321;152;236490;0;89299;72835700;10890300;11500400;3665920;0;255564;31;1949620000;0;736181000;8835;1395000;305,798;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;23;7;25877;0;0;6989570;176272;1264560;214185;0;22992;3;198321000;0;0;912;165000;27,317;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;178;5;148;0;0;13336900;690106;1395720;62675;0;77540;20;573796;0;0;3440;360000;106,782;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;170;20;24405;0;1133;7308100;1141890;1209060;274307;0;26868;4;163928000;0;7610360;1088;180000;32,517;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1782;174;152294;0;7805;46992100;11969700;7858890;2152640;0;174642;26;1022960000;0;52426200;6996;1170000;213,036;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;110;26;13799;0;268;1998500;723140;361570;157559;0;6574;1;90714600;0;1761830;304;55000;8,233;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1942;362;391826;0;10292;57325300;12766700;10288300;3792510;0;190646;29;2575860000;0;67659600;8720;1565000;238,599;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;149;5;2;0;0;13833100;577673;1450000;51987;0;81417;21;7754;0;0;3568;374000;115,385;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2301;236;428895;0;21684;55872000;15455800;9370220;4417550;0;208227;31;2880890000;0;145651000;8318;1395000;268,32;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;122;7;19368;0;0;2349540;1005770;370980;250188;0;8244;1;159670000;0;0;285;45000;9,85;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1624;216;473364;0;6563;70486200;13388300;11129400;5161450;0;247320;30;3902410000;0;54105400;8550;1350000;304,069;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;43;11;70937;0;0;9319420;329552;1686080;573318;0;30656;4;543661000;0;0;1216;220000;38,1;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2737;455;535713;0;39043;61111900;17993000;10945700;5397800;0;203794;31;3521780000;0;256669000;9296;1665000;253,231;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1075;145;265035;0;47387;67716200;8862300;10758400;3373200;0;239076;29;2184950000;0;390658000;8214;1305000;288,833;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;479;45;313497;0;898;67075300;3671060;12070800;2739910;0;222256;29;2402640000;0;6882270;8752;1575000;268,081;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;91;3;0;0;0;4667910;352807;488502;31749;0;27139;7;0;0;0;1204;126000;36,966;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1850;224;152497;0;11409;52970300;12426400;8765680;2219320;0;194793;29;1024320000;0;76634300;7886;1305000;234,116;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2467;210;337692;0;24669;57114900;16218100;10518400;3841770;0;197220;30;2219990000;0;162174000;8688;1600000;243,303;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;73;7;11;0;0;4667910;283021;488502;25511;0;27139;7;42647;0;0;1204;126000;37,351;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1973;211;387956;0;16576;52983700;13252600;8765680;3909960;0;194793;29;2605900000;0;111341000;7888;1305000;250,536;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1250;133;426104;0;3442;67675000;10305000;10758400;4468610;0;239076;29;3512800000;0;28375800;8209;1305000;300,216;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;571;58;414562;0;2011;67075300;4376140;12070800;3586450;0;222256;29;3177200000;0;15412300;8752;1575000;279,451;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1957;161;457764;0;29945;56878200;12865300;10156800;4364060;0;190646;29;3009340000;0;196858000;8652;1545000;243,815;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SUMU;MONTEVIDEO, MONTEVIDEO;;;URUGUAI;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;7569;0;0;0;0;70650;11883;0;1570;1;11883300;0;0;0;45000;2,683;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;5;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1174;188;172484;0;24881;37749300;9678460;6018120;2498130;0;131904;16;1421960000;0;205119000;4579;730000;161,835;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;5;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;888;79;260391;0;8128;37277700;6805630;6744320;2670430;0;122624;16;1995640000;0;62293000;4864;880000;149,035;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;5;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2074;226;130909;0;13220;27391900;13931100;4533980;2221900;0;100755;15;879316000;0;88798700;4078;675000;123,35;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;5;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5395;463;363403;0;40737;61716700;35466700;11142900;5848800;0;203794;31;2389010000;0;267805000;9388;1695000;248,7;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;5;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1823;255;286507;0;6378;31059400;12245100;5138500;3069360;0;114189;17;1924470000;0;42841000;4624;765000;147,249;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;5;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;860;144;258068;0;3561;39901000;7089840;6306660;2794950;0;140148;17;2127510000;0;29356900;4840;765000;178,599;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;5;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;626;73;316544;0;4118;39607600;4797660;7165840;2889340;0;130288;17;2425990000;0;31560400;5168;935000;163,402;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;5;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3825;409;573042;0;43481;61953400;25145600;11208700;6316100;0;203794;31;3767180000;0;285844000;9424;1705000;256,9;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;6;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1823;284;82250;0;31505;30544000;15028800;4822740;2290380;0;107172;13;678069000;0;259727000;3705;585000;128,717;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;6;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBV;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;128;2;0;0;0;607752;563712;66060;50734;0;4404;1;0;0;0;138;15000;6,75;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;6;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1352;144;209788;0;1305;30288100;10361700;5479760;2550370;0;99632;13;1607820000;0;10001500;3952;715000;120,35;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;6;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2942;139;72007;0;10207;23838600;19761400;3929440;2330750;0;87321;13;483671000;0;68560400;3549;585000;105,633;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;6;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6475;467;230239;0;11662;54064600;42566600;9006380;5421240;0;197220;30;1513590000;0;76666000;8224;1370000;247,798;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;6;SBBV;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL;SYCJ;GEORGETOWN;;;GUIANA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;128;2;0;0;0;67344;62464;7320;5621;0;488;1;0;0;0;138;15000;1,033;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;6;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2173;196;195174;0;9247;23751300;14596000;3929440;2686730;0;87321;13;1310980000;0;62112100;3536;585000;112,65;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;6;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;0;16488;2;0;0;0;0;0;21,067;0
